"Plot Title: surface_shade"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10761229, SEN S/N: 10761229)","Intensity, Lux (LGR S/N: 10761229, SEN S/N: 10761229)"
1,05/27/21 04:00:00 PM,17.475,3616.7
2,05/27/21 05:00:00 PM,16.808,5166.7
3,05/27/21 06:00:00 PM,15.664,2238.9
4,05/27/21 07:00:00 PM,14.613,796.5
5,05/27/21 08:00:00 PM,12.883,0.0
6,05/27/21 09:00:00 PM,11.916,0.0
7,05/27/21 10:00:00 PM,10.259,0.0
8,05/27/21 11:00:00 PM,8.879,0.0
9,05/28/21 12:00:00 AM,7.481,0.0
10,05/28/21 01:00:00 AM,6.674,0.0
11,05/28/21 02:00:00 AM,5.244,0.0
12,05/28/21 03:00:00 AM,5.037,0.0
13,05/28/21 04:00:00 AM,6.064,10.8
14,05/28/21 05:00:00 AM,6.674,236.8
15,05/28/21 06:00:00 AM,7.582,1722.2
16,05/28/21 07:00:00 AM,8.879,3100.0
17,05/28/21 08:00:00 AM,10.944,3272.2
18,05/28/21 09:00:00 AM,12.497,6200.0
19,05/28/21 10:00:00 AM,14.230,6544.5
20,05/28/21 11:00:00 AM,15.760,9300.1
21,05/28/21 12:00:00 PM,16.999,8611.2
22,05/28/21 01:00:00 PM,18.045,10677.8
23,05/28/21 02:00:00 PM,20.138,38578.0
24,05/28/21 03:00:00 PM,20.424,9300.1
25,05/28/21 04:00:00 PM,26.292,137778.7
26,05/28/21 05:00:00 PM,29.853,74400.5
27,05/28/21 06:00:00 PM,14.804,602.8
28,05/28/21 07:00:00 PM,11.819,312.2
29,05/28/21 08:00:00 PM,9.472,0.0
30,05/28/21 09:00:00 PM,7.882,0.0
31,05/28/21 10:00:00 PM,7.079,0.0
32,05/28/21 11:00:00 PM,7.280,0.0
33,05/29/21 12:00:00 AM,6.674,0.0
34,05/29/21 01:00:00 AM,6.166,0.0
35,05/29/21 02:00:00 AM,5.757,0.0
36,05/29/21 03:00:00 AM,5.141,0.0
37,05/29/21 04:00:00 AM,4.623,21.5
38,05/29/21 05:00:00 AM,4.727,258.3
39,05/29/21 06:00:00 AM,5.450,1313.2
40,05/29/21 07:00:00 AM,8.581,2927.8
41,05/29/21 08:00:00 AM,12.690,4305.6
42,05/29/21 09:00:00 AM,18.711,7577.8
43,05/29/21 10:00:00 AM,19.948,7233.4
44,05/29/21 11:00:00 AM,20.615,6200.0
45,05/29/21 12:00:00 PM,20.996,6200.0
46,05/29/21 01:00:00 PM,21.855,8611.2
47,05/29/21 02:00:00 PM,24.255,12400.1
48,05/29/21 03:00:00 PM,24.835,12400.1
49,05/29/21 04:00:00 PM,28.853,79911.6
50,05/29/21 05:00:00 PM,33.118,24800.2
51,05/29/21 06:00:00 PM,18.711,624.3
52,05/29/21 07:00:00 PM,15.091,312.2
53,05/29/21 08:00:00 PM,12.304,0.0
