"Plot Title: 10355260"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10355260, SEN S/N: 10355260)","Intensity, Lux (LGR S/N: 10355260, SEN S/N: 10355260)"
1,05/26/21 04:00:00 PM,20.805,226.0
2,05/26/21 05:00:00 PM,21.473,226.0
3,05/26/21 06:00:00 PM,21.855,236.8
4,05/26/21 07:00:00 PM,22.238,247.6
5,05/26/21 08:00:00 PM,22.429,258.3
6,05/26/21 09:00:00 PM,22.429,258.3
7,05/26/21 10:00:00 PM,22.429,258.3
8,05/26/21 11:00:00 PM,22.238,258.3
9,05/27/21 12:00:00 AM,22.142,258.3
10,05/27/21 01:00:00 AM,21.951,258.3
11,05/27/21 02:00:00 AM,21.664,247.6
12,05/27/21 03:00:00 AM,21.473,247.6
13,05/27/21 04:00:00 AM,21.091,247.6
14,05/27/21 05:00:00 AM,20.805,236.8
15,05/27/21 06:00:00 AM,20.519,236.8
16,05/27/21 07:00:00 AM,20.329,236.8
17,05/27/21 08:00:00 AM,20.234,226.0
18,05/27/21 09:00:00 AM,20.424,226.0
19,05/27/21 10:00:00 AM,31.676,187379.0
20,05/27/21 11:00:00 AM,26.585,55111.5
21,05/27/21 12:00:00 PM,23.388,38578.0
22,05/27/21 01:00:00 PM,23.484,34444.7
23,05/27/21 02:00:00 PM,17.855,18600.1
24,05/27/21 03:00:00 PM,26.781,99200.7
25,05/27/21 04:00:00 PM,19.853,27555.7
26,05/27/21 05:00:00 PM,18.996,27555.7
27,05/27/21 06:00:00 PM,16.999,13777.9
28,05/27/21 07:00:00 PM,14.709,3616.7
29,05/27/21 08:00:00 PM,11.431,10.8
30,05/27/21 09:00:00 PM,10.651,0.0
31,05/27/21 10:00:00 PM,8.879,0.0
32,05/27/21 11:00:00 PM,7.179,0.0
33,05/28/21 12:00:00 AM,4.623,0.0
34,05/28/21 01:00:00 AM,4.311,0.0
35,05/28/21 02:00:00 AM,2.303,0.0
36,05/28/21 03:00:00 AM,3.788,0.0
37,05/28/21 04:00:00 AM,5.347,129.2
38,05/28/21 05:00:00 AM,6.370,1808.3
39,05/28/21 06:00:00 AM,8.581,13089.0
40,05/28/21 07:00:00 AM,11.528,28933.5
41,05/28/21 08:00:00 AM,13.654,23422.4
42,05/28/21 09:00:00 AM,18.521,55111.5
43,05/28/21 10:00:00 AM,22.238,63378.2
44,05/28/21 11:00:00 AM,31.574,187379.0
45,05/28/21 12:00:00 PM,33.639,209423.6
46,05/28/21 01:00:00 PM,31.472,176356.7
47,05/28/21 02:00:00 PM,31.166,148801.0
48,05/28/21 03:00:00 PM,28.655,26178.0
