"","s","e","temp"
"1",0,3600,4.80061860221842
"2",3600,7200,4.87556239009301
"3",7200,10800,4.92287102768503
"4",10800,14400,4.93910658979539
"5",14400,18000,4.92295053503906
"6",18000,21600,4.87529192487012
"7",21600,25200,4.79916521306689
"8",25200,28800,4.69954195547757
"9",28800,32400,4.58299073556636
"10",32400,36000,4.45722856602421
"11",36000,39600,4.33059440063548
"12",39600,43200,4.21148067273019
"13",43200,46800,4.10776160872721
"14",46800,50400,4.02625725642181
"15",50400,54000,3.9722697067159
"16",54000,57600,3.94922304397309
"17",57600,61200,3.95843147257994
"18",61200,64800,3.99901131985084
"19",64800,68400,4.06794280505
"20",68400,72000,4.16027725989519
"21",72000,75600,4.26947558268054
"22",75600,79200,4.38785478032547
"23",79200,82800,4.50711210753207
"24",82800,86400,4.61889104890648
"25",86400,90000,4.71535056533833
"26",90000,93600,4.78969883077075
"27",93600,97200,4.83665513117043
"28",97200,100800,4.85280851561066
"29",100800,104400,4.83684884324621
"30",104400,108000,4.78965457771074
"31",108000,111600,4.71423144793509
"32",111600,115200,4.61550625564338
"33",115200,118800,4.49998997255029
"34",118800,122400,4.37533316307829
"35",122400,126000,4.24980408627509
"36",126000,129600,4.13172507624126
"37",129600,133200,4.02890561793892
"38",133200,136800,3.94811073449843
"39",136800,140400,3.89460087126456
"40",140400,144000,3.87177456814062
"41",144000,147600,3.880938190218
"42",147600,151200,3.92121831682939
"43",151200,154800,3.98962266257458
"44",154800,158400,4.08124528365144
"45",158400,162000,4.18960199846452
"46",162000,165600,4.30707309186133
"47",165600,169200,4.42542308020726
"48",169200,172800,4.53636208546128
"49",172800,176400,4.63211055524039
"50",176400,180000,4.70592886245936
"51",180000,183600,4.75257573468383
"52",183600,187200,4.76866433359186
"53",187200,190800,4.75289179565695
"54",190800,194400,4.7061266789048
"55",194400,198000,4.63134844832822
"56",198000,201600,4.53344321382895
"57",201600,205200,4.41886972256745
"58",205200,208800,4.29521843591468
"59",208800,212400,4.17069378915965
"60",212400,216000,4.05355494571161
"61",216000,219600,3.9515531629379
"62",219600,223200,3.87140409440564
"63",223200,226800,3.8183309505888
"64",226800,230400,3.79570959227561
"65",230400,234000,3.80483966960222
"66",234000,237600,3.84485732021284
"67",237600,241200,3.91279528914976
"68",241200,244800,4.00378628860859
"69",244800,248400,4.11139566197053
"70",248400,252000,4.22806061765291
"71",252000,255600,4.34560605299438
"72",255600,259200,4.45580178915115
"73",259200,262800,4.55092323773607
"74",262800,266400,4.62427730800836
"75",266400,270000,4.67065775276498
"76",270000,273600,4.68669897747611
"77",273600,277200,4.67110427055642
"78",277200,280800,4.62473297957139
"79",280800,284400,4.55054077426784
"80",284400,288000,4.45337714708464
"81",288000,291600,4.33965402329864
"82",291600,295200,4.21690812425604
"83",295200,298800,4.09328695137752
"84",298800,302400,3.97699344463799
"85",302400,306000,3.87572716492595
"86",306000,309600,3.79616006597637
"87",309600,313200,3.74348254511213
"88",313200,316800,3.72105065607201
"89",316800,320400,3.73015846036661
"90",320400,324000,3.7699509574125
"91",324000,327600,3.83748345038434
"92",327600,331200,3.92792322753857
"93",331200,334800,4.03487974742389
"94",334800,338400,4.15084077080154
"95",338400,342000,4.26768467740117
"96",342000,345600,4.37723403173054
"97",345600,349200,4.47181267037969
"98",349200,352800,4.54476836253551
"99",352800,356400,4.59092545947986
"100",356400,360000,4.60693673536738
"101",360000,363600,4.59151050335343
"102",363600,367200,4.54549759842025
"103",367200,370800,4.47183237081173
"104",370800,374400,4.37533178071399
"105",374400,378000,4.26236634806515
"106",378000,381600,4.14042543313779
"107",381600,385200,4.01760651024532
"108",385200,388800,3.90206325984548
"109",388800,392400,3.80145009278276
"110",392400,396000,3.72240094564013
"111",396000,399600,3.67007783403248
"112",399600,403200,3.64781988258391
"113",403200,406800,3.65691669216521
"114",406800,410400,3.69652142480028
"115",410400,414000,3.76370946280151
"116",414000,417600,3.85367858030365
"117",417600,421200,3.96007692814145
"118",421200,424800,4.07543643321439
"119",424800,428400,4.1916820432129
"120",428400,432000,4.30068209452159
"121",432000,435600,4.39480229533973
"122",435600,439200,4.46742558625731
"123",439200,442800,4.51340248122774
"124",442800,446400,4.52940124253941
"125",446400,450000,4.51413407939897
"126",450000,453600,4.46844401460484
"127",453600,457200,4.39524656095851
"128",457200,460800,4.29933024124341
"129",460800,464400,4.18702959887318
"130",464400,468000,4.06579302603195
"131",468000,471600,3.94367489151108
"132",471600,475200,3.82878659476496
"133",475200,478800,3.72874395640783
